id,bairro,status,causa_interrupcao,inicio_interrupcao,previsao_retorno,area_afetada,pressao_rede,medida_solucao,descricao,atualizado_em
025e1581-23cc-467f-87ad-1f459861a492,novo marotinho,NORMAL,,,,,NORMAL,,,2026-04-08 22:47:35.712964
032d581c-fd8a-485e-8fc3-436cd6865c9d,aeroporto,NORMAL,,,,,NORMAL,,,2026-04-14 17:32:36.936
036fc87b-45e1-4149-858a-c6b465127758,piata,NORMAL,,,,,NORMAL,,,2026-04-14 16:20:28.457
059c2f09-ffb6-4448-82f4-186afe28694e,matatu,NORMAL,,,,,NORMAL,,,2026-05-02 18:06:04.419
06db2a6e-78cf-4646-8f20-18e17cfef694,mirantes de periperi,NORMAL,,,,,NORMAL,,,2026-04-08 22:47:35.712964
0a6f9284-18c4-49ae-afa4-db8214564fbf,sete de abril,NORMAL,,,,,NORMAL,,,2026-05-29 16:36:32.216
0e5201f7-bb02-4b5a-9b0a-63850235d40e,fazenda grande iii,SEM_ABASTECIMENTO,ROMPIMENTO,2026-06-09 10:31:00,2098-03-12 12:59:00,PARTE_DO_BAIRRO,SEM_PRESSÃO,AGUARDANDO_DISTRIBUIDORA,Ta em andamento,2026-06-09 13:32:47.106
10e891e8-fc5b-4c5c-95b0-4559cf3e71fe,pero vaz,NORMAL,,,,,NORMAL,,,2026-04-14 18:52:33.525
115c9c18-c735-4003-a857-16d1a09f4219,bonfim,NORMAL,,,,,NORMAL,,,2026-04-08 22:47:35.712964
11d8fbab-2f41-47e9-a317-8dbc0e7cdbbc,curuzu,NORMAL,,,,,NORMAL,,,2026-04-08 22:47:35.712964
13a9f288-aac2-44c3-b79e-bac09ecdaabb,canabrava,NORMAL,,,,,NORMAL,,,2026-04-08 22:47:35.712964
145c7496-3b9e-44f9-a4fb-33f60b2b26e3,alto do cabrito,NORMAL,,,,,NORMAL,,,2026-04-08 22:47:35.712964
17cb38a7-7a00-4503-a95b-eb09562831f3,engomadeira,NORMAL,,,,,NORMAL,,,2026-04-08 22:47:35.712964
18a5792a-56d2-4b82-acf1-d49c65da01c0,nazare,NORMAL,,,,,NORMAL,,,2026-04-24 01:05:15.107
18afcce5-4fda-4ebe-b682-f71461dac74b,barra,NORMAL,,,,,NORMAL,,,2026-04-08 22:47:35.712964
1a593c1f-b065-4904-bef3-a054cc4a6d1d,itapua,NORMAL,,,,,NORMAL,,,2026-04-14 16:20:20.897
1c313497-8f2c-4c4f-b50a-63692f6dbc0f,palestina,NORMAL,,,,,NORMAL,,,2026-04-08 22:47:35.712964
